,Price,Local,Surface,Bathroom,Floor
717,€ 980.000,5+ ,250,3 ,1
719,€ 330.000,3 ,90,2 ,1
720,€ 185.000,1 ,25,1 ,Ultimo
721,€ 350.000,5+ ,170,2 ,Piano rialzato
722,€ 149.000,3 ,75,1 ,1
723,€ 215.000,3 ,70,1 ,2
726,€ 680.000,5 ,149,2 ,2
728,€ 640.000,5+ ,210,3 ,1
729,€ 245.000,2 ,70,1 ,5
730,€ 179.000,3 ,80,1 ,2
732,€ 695.000,5 ,150,2 ,Ultimo
733,€ 259.000,3 ,100,2 ,1
734,€ 480.000,3 ,141,3 ,Piano rialzato
735,€ 440.000,4 ,136,2 ,3
736,€ 349.000,4 ,130,2 ,3
740,€ 270.000,3 ,102,1 ,4
741,€ 670.000,5 ,158,3 ,4
742,€ 330.000,3 ,85,1 ,3
743,€ 149.000,2 ,52,1 ,Piano rialzato
